frame,x_px,y_px,vx_px_s,vy_px_s,ax_px_s2,ay_px_s2,vx_m_s,vy_m_s,ax_m_s2,ay_m_s2
0,912.0,884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,919.0,872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,930.0,851.0,330.0,-630.0,9900.0,-18900.0,3.3000000000000003,-6.3,99.0,-189.0
3,945.0,820.0,450.0,-930.0,3600.0,-9000.0,4.5,-9.3,36.0,-90.0
4,956.0,774.0,330.0,-1380.0,-3600.0,-13500.0,3.3000000000000003,-13.8,-36.0,-135.0
5,962.0,718.0,180.0,-1680.0,-4500.0,-9000.0,1.8,-16.8,-45.0,-90.0
6,963.0,657.0,30.0,-1830.0,-4500.0,-4500.0,0.3,-18.3,-45.0,-45.0
7,964.0,600.0,30.0,-1710.0,0.0,3600.0,0.3,-17.1,0.0,36.0
8,967.0,549.0,90.0,-1530.0,1800.0,5400.0,0.9,-15.3,18.0,54.0
9,971.0,500.0,120.0,-1470.0,900.0,1800.0,1.2,-14.700000000000001,9.0,18.0
10,974.0,458.0,90.0,-1260.0,-900.0,6300.0,0.9,-12.6,-9.0,63.0
11,974.0,417.0,0.0,-1230.0,-2700.0,900.0,0.0,-12.3,-27.0,9.0
12,974.0,381.0,0.0,-1080.0,0.0,4500.0,0.0,-10.8,0.0,45.0
13,976.0,348.0,60.0,-990.0,1800.0,2700.0,0.6,-9.9,18.0,27.0
14,975.0,318.0,-30.0,-900.0,-2700.0,2700.0,-0.3,-9.0,-27.0,27.0
15,976.0,294.0,30.0,-720.0,1800.0,5400.0,0.3,-7.2,18.0,54.0
16,975.0,270.0,-30.0,-720.0,-1800.0,0.0,-0.3,-7.2,-18.0,0.0
17,971.0,248.0,-120.0,-660.0,-2700.0,1800.0,-1.2,-6.6000000000000005,-27.0,18.0
18,971.0,233.0,0.0,-450.0,3600.0,6300.0,0.0,-4.5,36.0,63.0
19,971.0,220.0,0.0,-390.0,0.0,1800.0,0.0,-3.9,0.0,18.0
20,951.0,222.0,-600.0,60.0,-18000.0,13500.0,-6.0,0.6,-180.0,135.0
21,950.0,217.0,-30.0,-150.0,17100.0,-6300.0,-0.3,-1.5,171.0,-63.0
22,949.0,211.0,-30.0,-180.0,0.0,-900.0,-0.3,-1.8,0.0,-9.0
23,946.0,211.0,-90.0,0.0,-1800.0,5400.0,-0.9,0.0,-18.0,54.0
24,967.0,221.0,630.0,300.0,21600.0,9000.0,6.3,3.0,216.0,90.0
25,969.0,228.0,60.0,210.0,-17100.0,-2700.0,0.6,2.1,-171.0,-27.0
26,946.0,227.0,-690.0,-30.0,-22500.0,-7200.0,-6.9,-0.3,-225.0,-72.0
27,945.0,239.0,-30.0,360.0,19800.0,11700.0,-0.3,3.6,198.0,117.0
28,944.0,253.0,-30.0,420.0,0.0,1800.0,-0.3,4.2,0.0,18.0
29,945.0,271.0,30.0,540.0,1800.0,3600.0,0.3,5.4,18.0,36.0
30,943.0,294.0,-60.0,690.0,-2700.0,4500.0,-0.6,6.9,-27.0,45.0
31,942.0,318.0,-30.0,720.0,900.0,900.0,-0.3,7.2,9.0,9.0
32,943.0,346.0,30.0,840.0,1800.0,3600.0,0.3,8.4,18.0,36.0
33,939.0,378.0,-120.0,960.0,-4500.0,3600.0,-1.2,9.6,-45.0,36.0
34,939.0,413.0,0.0,1050.0,3600.0,2700.0,0.0,10.5,36.0,27.0
35,933.0,459.0,-180.0,1380.0,-5400.0,9900.0,-1.8,13.8,-54.0,99.0
36,931.0,501.0,-60.0,1260.0,3600.0,-3600.0,-0.6,12.6,36.0,-36.0
37,931.0,545.0,0.0,1320.0,1800.0,1800.0,0.0,13.200000000000001,18.0,18.0
38,930.0,592.0,-30.0,1410.0,-900.0,2700.0,-0.3,14.1,-9.0,27.0
39,930.0,643.0,0.0,1530.0,900.0,3600.0,0.0,15.3,9.0,36.0
40,929.0,694.0,-30.0,1530.0,-900.0,0.0,-0.3,15.3,-9.0,0.0
41,928.0,739.0,-30.0,1350.0,0.0,-5400.0,-0.3,13.5,0.0,-54.0
42,923.0,765.0,-150.0,780.0,-3600.0,-17100.0,-1.5,7.8,-36.0,-171.0
43,910.0,784.0,-390.0,570.0,-7200.0,-6300.0,-3.9,5.7,-72.0,-63.0
